m,run,item,value_player0,value_player1,value_player2,value_player3,value_player4,rr_allocation,astar_allocation,rr_player_order,value_range
10,2,5,27,38,10,26,28,0,4,"[4, 2, 0, 1, 3]",10-50
10,2,6,56,52,55,113,111,2,4,"[4, 2, 0, 1, 3]",40-120
10,2,7,21,29,20,39,33,1,4,"[4, 2, 0, 1, 3]",10-50
10,2,8,65,57,97,96,120,4,4,"[4, 2, 0, 1, 3]",40-120
10,2,9,150,190,182,107,112,1,2,"[4, 2, 0, 1, 3]",100-200
10,3,0,272,188,252,300,175,3,0,"[2, 3, 4, 0, 1]",150-400
10,3,1,40,42,79,77,55,2,3,"[2, 3, 4, 0, 1]",40-120
10,3,2,139,193,178,156,144,0,1,"[2, 3, 4, 0, 1]",100-200
10,3,3,43,30,15,21,19,0,0,"[2, 3, 4, 0, 1]",10-50
10,3,4,48,52,50,102,49,3,3,"[2, 3, 4, 0, 1]",40-120
10,3,5,371,259,379,220,347,2,4,"[2, 3, 4, 0, 1]",150-400
10,3,6,22,50,35,38,15,1,1,"[2, 3, 4, 0, 1]",10-50
10,3,7,115,196,182,187,152,4,2,"[2, 3, 4, 0, 1]",100-200
10,3,8,29,11,19,45,34,4,3,"[2, 3, 4, 0, 1]",10-50
10,3,9,51,105,117,52,81,1,2,"[2, 3, 4, 0, 1]",40-120
10,4,0,12,44,19,21,16,4,1,"[1, 0, 2, 3, 4]",10-50
10,4,1,299,358,242,229,375,1,4,"[1, 0, 2, 3, 4]",150-400
10,4,2,106,57,71,73,64,0,0,"[1, 0, 2, 3, 4]",40-120
10,4,3,32,36,28,33,25,3,1,"[1, 0, 2, 3, 4]",10-50
10,4,4,113,51,70,74,73,4,0,"[1, 0, 2, 3, 4]",40-120
10,4,5,78,79,73,46,62,1,2,"[1, 0, 2, 3, 4]",40-120
10,4,6,157,146,173,155,181,2,2,"[1, 0, 2, 3, 4]",100-200
10,4,7,39,15,36,19,28,2,0,"[1, 0, 2, 3, 4]",10-50
10,4,8,123,177,111,146,175,3,1,"[1, 0, 2, 3, 4]",100-200
10,4,9,343,172,199,284,300,0,3,"[1, 0, 2, 3, 4]",150-400
10,5,0,81,51,58,101,58,1,3,"[2, 1, 0, 3, 4]",40-120
10,5,1,49,111,80,96,74,4,1,"[2, 1, 0, 3, 4]",40-120
10,5,2,312,200,264,173,183,1,0,"[2, 1, 0, 3, 4]",150-400
10,5,3,37,48,13,18,48,0,1,"[2, 1, 0, 3, 4]",10-50
10,5,4,181,107,176,167,191,0,4,"[2, 1, 0, 3, 4]",100-200
10,5,5,92,66,116,117,65,2,3,"[2, 1, 0, 3, 4]",40-120
10,5,6,24,39,38,27,47,4,1,"[2, 1, 0, 3, 4]",10-50
10,5,7,18,38,44,33,28,3,1,"[2, 1, 0, 3, 4]",10-50
10,5,8,163,126,117,144,198,3,4,"[2, 1, 0, 3, 4]",100-200
10,5,9,375,256,352,317,199,2,2,"[2, 1, 0, 3, 4]",150-400
10,6,0,232,150,218,255,195,4,3,"[4, 2, 3, 0, 1]",150-400
10,6,1,158,116,138,120,140,0,0,"[4, 2, 3, 0, 1]",100-200
10,6,2,309,156,391,388,162,2,2,"[4, 2, 3, 0, 1]",150-400
10,6,3,23,32,20,15,15,0,1,"[4, 2, 3, 0, 1]",10-50
10,6,4,188,174,138,136,145,3,0,"[4, 2, 3, 0, 1]",100-200
10,6,5,118,115,110,59,99,2,1,"[4, 2, 3, 0, 1]",40-120
10,6,6,108,114,61,45,117,4,4,"[4, 2, 3, 0, 1]",40-120
10,6,7,32,35,44,43,41,3,4,"[4, 2, 3, 0, 1]",10-50
10,6,8,17,35,50,41,40,1,4,"[4, 2, 3, 0, 1]",10-50
10,6,9,66,116,119,63,91,1,1,"[4, 2, 3, 0, 1]",40-120
10,7,0,21,23,44,25,17,2,2,"[1, 3, 0, 4, 2]",10-50
10,7,1,183,111,195,112,115,0,2,"[1, 3, 0, 4, 2]",100-200
10,7,2,42,80,101,81,119,1,4,"[1, 3, 0, 4, 2]",40-120
10,7,3,105,78,112,55,115,2,0,"[1, 3, 0, 4, 2]",40-120
10,7,4,142,145,168,168,158,4,4,"[1, 3, 0, 4, 2]",100-200
10,7,5,36,21,24,42,31,4,0,"[1, 3, 0, 4, 2]",10-50
10,7,6,185,243,312,330,167,3,3,"[1, 3, 0, 4, 2]",150-400
10,7,7,49,42,19,23,11,0,0,"[1, 3, 0, 4, 2]",10-50
10,7,8,169,296,222,223,287,1,1,"[1, 3, 0, 4, 2]",150-400
10,7,9,120,55,57,109,66,3,0,"[1, 3, 0, 4, 2]",40-120
10,8,0,28,35,12,48,16,3,3,"[0, 2, 4, 3, 1]",10-50
10,8,1,100,73,60,82,45,2,0,"[0, 2, 4, 3, 1]",40-120
10,8,2,113,118,80,52,58,1,0,"[0, 2, 4, 3, 1]",40-120
10,8,3,12,28,20,44,34,1,3,"[0, 2, 4, 3, 1]",10-50
10,8,4,108,52,52,80,86,0,0,"[0, 2, 4, 3, 1]",40-120
10,8,5,190,120,188,136,167,4,2,"[0, 2, 4, 3, 1]",100-200
10,8,6,369,350,291,229,181,0,1,"[0, 2, 4, 3, 1]",150-400
10,8,7,236,182,212,240,279,2,4,"[0, 2, 4, 3, 1]",150-400
10,8,8,188,106,107,183,122,3,3,"[0, 2, 4, 3, 1]",100-200
10,8,9,10,10,47,20,39,4,2,"[0, 2, 4, 3, 1]",10-50
10,9,0,100,137,175,131,135,1,2,"[4, 0, 3, 1, 2]",100-200
10,9,1,45,15,35,14,44,1,4,"[4, 0, 3, 1, 2]",10-50
10,9,2,12,25,20,50,38,3,3,"[4, 0, 3, 1, 2]",10-50
10,9,3,101,67,97,113,60,0,3,"[4, 0, 3, 1, 2]",40-120
10,9,4,229,324,291,358,269,0,1,"[4, 0, 3, 1, 2]",150-400
10,9,5,100,150,169,182,154,3,3,"[4, 0, 3, 1, 2]",100-200
10,9,6,26,11,45,10,24,2,2,"[4, 0, 3, 1, 2]",10-50
10,9,7,282,175,296,249,270,4,0,"[4, 0, 3, 1, 2]",150-400
10,9,8,89,80,83,106,91,4,4,"[4, 0, 3, 1, 2]",40-120
10,9,9,106,75,115,65,105,2,4,"[4, 0, 3, 1, 2]",40-120
10,10,0,163,156,366,256,168,3,2,"[3, 1, 0, 2, 4]",150-400
10,10,1,177,148,179,135,194,2,3,"[3, 1, 0, 2, 4]",100-200
10,10,2,57,64,114,85,88,3,3,"[3, 1, 0, 2, 4]",40-120
10,10,3,28,46,42,32,27,2,1,"[3, 1, 0, 2, 4]",10-50
10,10,4,53,59,72,50,54,1,0,"[3, 1, 0, 2, 4]",40-120
10,10,5,180,106,119,133,172,0,0,"[3, 1, 0, 2, 4]",100-200
10,10,6,27,33,34,29,18,4,1,"[3, 1, 0, 2, 4]",10-50
10,10,7,33,50,27,27,17,0,1,"[3, 1, 0, 2, 4]",10-50
10,10,8,68,94,67,72,118,4,1,"[3, 1, 0, 2, 4]",40-120
10,10,9,257,312,265,234,392,1,4,"[3, 1, 0, 2, 4]",150-400
10,11,0,82,47,78,97,93,0,3,"[0, 4, 3, 2, 1]",40-120
10,11,1,33,44,35,33,44,1,1,"[0, 4, 3, 2, 1]",10-50
10,11,2,27,27,19,46,20,3,3,"[0, 4, 3, 2, 1]",10-50
10,11,3,113,179,100,162,130,3,1,"[0, 4, 3, 2, 1]",100-200
10,11,4,283,196,231,378,244,4,0,"[0, 4, 3, 2, 1]",150-400
10,11,5,47,59,114,72,65,4,2,"[0, 4, 3, 2, 1]",40-120
10,11,6,109,127,155,138,109,2,2,"[0, 4, 3, 2, 1]",100-200
10,11,7,55,93,95,88,50,1,3,"[0, 4, 3, 2, 1]",40-120
10,11,8,285,277,384,262,342,0,4,"[0, 4, 3, 2, 1]",150-400
10,11,9,13,43,43,22,18,2,1,"[0, 4, 3, 2, 1]",10-50
10,12,0,23,22,30,31,31,4,4,"[1, 2, 0, 4, 3]",10-50
10,12,1,34,15,18,21,18,3,0,"[1, 2, 0, 4, 3]",10-50
10,12,2,67,84,97,72,98,2,4,"[1, 2, 0, 4, 3]",40-120
10,12,3,100,87,109,88,99,3,4,"[1, 2, 0, 4, 3]",40-120
10,12,4,103,108,75,51,59,1,1,"[1, 2, 0, 4, 3]",40-120
10,12,5,317,341,338,270,314,1,2,"[1, 2, 0, 4, 3]",150-400
10,12,6,366,161,271,366,390,2,3,"[1, 2, 0, 4, 3]",150-400
10,12,7,47,19,34,33,46,0,0,"[1, 2, 0, 4, 3]",10-50
10,12,8,117,179,138,143,136,4,1,"[1, 2, 0, 4, 3]",100-200
10,12,9,173,107,143,175,101,0,0,"[1, 2, 0, 4, 3]",100-200
10,13,0,33,29,16,48,48,3,4,"[4, 1, 0, 3, 2]",10-50
10,13,1,124,133,152,185,173,3,3,"[4, 1, 0, 3, 2]",100-200
10,13,2,47,81,79,109,54,2,3,"[4, 1, 0, 3, 2]",40-120
10,13,3,16,16,18,12,49,2,4,"[4, 1, 0, 3, 2]",10-50
10,13,4,347,301,375,228,260,1,2,"[4, 1, 0, 3, 2]",150-400
10,13,5,94,49,62,59,55,1,4,"[4, 1, 0, 3, 2]",40-120
10,13,6,395,301,226,366,360,4,0,"[4, 1, 0, 3, 2]",150-400
10,13,7,37,43,43,32,20,0,1,"[4, 1, 0, 3, 2]",10-50
10,13,8,194,183,107,131,132,0,1,"[4, 1, 0, 3, 2]",100-200
10,13,9,51,85,49,44,84,4,4,"[4, 1, 0, 3, 2]",40-120
10,14,0,23,19,31,25,31,3,2,"[0, 4, 2, 1, 3]",10-50
10,14,1,120,74,78,92,58,3,3,"[0, 4, 2, 1, 3]",40-120
10,14,2,316,180,217,226,181,4,0,"[0, 4, 2, 1, 3]",150-400
10,14,3,38,50,49,12,22,2,2,"[0, 4, 2, 1, 3]",10-50
10,14,4,192,172,126,155,158,1,3,"[0, 4, 2, 1, 3]",100-200
10,14,5,342,245,207,206,259,0,4,"[0, 4, 2, 1, 3]",150-400
10,14,6,28,38,48,32,22,1,2,"[0, 4, 2, 1, 3]",10-50
10,14,7,104,75,105,82,83,4,2,"[0, 4, 2, 1, 3]",40-120
10,14,8,115,112,84,91,76,0,1,"[0, 4, 2, 1, 3]",40-120
10,14,9,106,158,137,120,142,2,1,"[0, 4, 2, 1, 3]",100-200
10,15,0,113,116,190,152,179,2,4,"[0, 3, 2, 4, 1]",100-200
10,15,1,10,41,18,18,13,1,1,"[0, 3, 2, 4, 1]",10-50
10,15,2,258,168,165,346,255,3,3,"[0, 3, 2, 4, 1]",150-400
10,15,3,90,83,97,62,77,0,2,"[0, 3, 2, 4, 1]",40-120
10,15,4,84,108,93,86,75,3,1,"[0, 3, 2, 4, 1]",40-120
10,15,5,32,15,13,37,38,4,4,"[0, 3, 2, 4, 1]",10-50
10,15,6,334,320,294,211,164,0,0,"[0, 3, 2, 4, 1]",150-400
10,15,7,177,169,152,151,140,4,2,"[0, 3, 2, 4, 1]",100-200
10,15,8,67,110,42,49,100,1,1,"[0, 3, 2, 4, 1]",40-120
10,15,9,47,34,43,45,28,2,2,"[0, 3, 2, 4, 1]",10-50
10,16,0,115,74,56,114,58,3,3,"[1, 4, 0, 2, 3]",40-120
10,16,1,51,108,55,68,102,1,4,"[1, 4, 0, 2, 3]",40-120
10,16,2,36,33,40,32,20,3,2,"[1, 4, 0, 2, 3]",10-50
10,16,3,23,30,41,35,46,4,2,"[1, 4, 0, 2, 3]",10-50
10,16,4,395,215,274,258,294,4,0,"[1, 4, 0, 2, 3]",150-400
10,16,5,286,350,185,158,331,1,1,"[1, 4, 0, 2, 3]",150-400
10,16,6,124,104,164,163,125,2,3,"[1, 4, 0, 2, 3]",100-200
10,16,7,46,31,49,31,30,2,2,"[1, 4, 0, 2, 3]",10-50
10,16,8,61,56,62,46,45,0,2,"[1, 4, 0, 2, 3]",40-120
10,16,9,148,121,146,188,197,0,4,"[1, 4, 0, 2, 3]",100-200
10,17,0,13,20,48,25,50,3,2,"[0, 2, 1, 3, 4]",10-50
10,17,1,102,99,60,65,100,0,0,"[0, 2, 1, 3, 4]",40-120
10,17,2,63,43,110,109,120,4,3,"[0, 2, 1, 3, 4]",40-120
10,17,3,48,26,31,10,21,4,0,"[0, 2, 1, 3, 4]",10-50
10,17,4,44,29,41,29,35,1,0,"[0, 2, 1, 3, 4]",10-50
10,17,5,178,143,103,160,132,1,3,"[0, 2, 1, 3, 4]",100-200
10,17,6,95,82,91,77,51,2,0,"[0, 2, 1, 3, 4]",40-120
10,17,7,232,190,300,156,325,2,4,"[0, 2, 1, 3, 4]",150-400
10,17,8,198,106,185,163,141,3,2,"[0, 2, 1, 3, 4]",100-200
10,17,9,240,346,318,277,250,0,1,"[0, 2, 1, 3, 4]",150-400
10,18,0,63,81,76,88,92,4,1,"[2, 3, 0, 1, 4]",40-120
10,18,1,151,178,108,103,110,1,1,"[2, 3, 0, 1, 4]",100-200
10,18,2,193,163,211,193,391,3,4,"[2, 3, 0, 1, 4]",150-400
10,18,3,39,28,41,11,35,0,0,"[2, 3, 0, 1, 4]",10-50
10,18,4,22,20,24,36,15,1,3,"[2, 3, 0, 1, 4]",10-50
10,18,5,82,58,104,75,60,3,2,"[2, 3, 0, 1, 4]",40-120
10,18,6,177,148,140,171,125,0,0,"[2, 3, 0, 1, 4]",100-200
10,18,7,11,17,45,16,21,4,2,"[2, 3, 0, 1, 4]",10-50
10,18,8,46,89,108,64,61,2,2,"[2, 3, 0, 1, 4]",40-120
10,18,9,182,171,335,333,339,2,3,"[2, 3, 0, 1, 4]",150-400
10,19,0,12,46,33,48,25,3,3,"[1, 2, 0, 4, 3]",10-50
10,19,1,111,80,90,94,72,3,0,"[1, 2, 0, 4, 3]",40-120
10,19,2,44,27,34,27,23,0,0,"[1, 2, 0, 4, 3]",10-50
10,19,3,125,139,147,128,144,4,2,"[1, 2, 0, 4, 3]",100-200
10,19,4,166,367,200,219,268,1,1,"[1, 2, 0, 4, 3]",150-400
10,19,5,99,42,81,45,93,2,2,"[1, 2, 0, 4, 3]",40-120
10,19,6,118,112,84,68,84,1,0,"[1, 2, 0, 4, 3]",40-120
10,19,7,15,38,43,14,49,4,2,"[1, 2, 0, 4, 3]",10-50
10,19,8,258,278,254,261,379,2,4,"[1, 2, 0, 4, 3]",150-400
10,19,9,200,116,175,193,123,0,3,"[1, 2, 0, 4, 3]",100-200
10,20,0,22,11,36,11,15,0,0,"[2, 3, 1, 4, 0]",10-50
10,20,1,85,76,55,65,69,0,0,"[2, 3, 1, 4, 0]",40-120
10,20,2,17,14,11,17,38,4,4,"[2, 3, 1, 4, 0]",10-50
10,20,3,168,106,155,129,194,4,4,"[2, 3, 1, 4, 0]",100-200
10,20,4,75,72,58,44,51,3,0,"[2, 3, 1, 4, 0]",40-120
10,20,5,174,158,365,376,289,2,2,"[2, 3, 1, 4, 0]",150-400
10,20,6,68,117,93,71,87,2,1,"[2, 3, 1, 4, 0]",40-120
10,20,7,167,192,102,187,168,1,1,"[2, 3, 1, 4, 0]",100-200
10,20,8,187,345,225,355,250,3,3,"[2, 3, 1, 4, 0]",150-400
10,20,9,30,27,14,41,47,1,4,"[2, 3, 1, 4, 0]",10-50
10,21,0,209,267,163,277,312,1,4,"[1, 0, 2, 3, 4]",150-400
10,21,1,41,36,16,42,23,3,0,"[1, 0, 2, 3, 4]",10-50
10,21,2,67,41,100,95,65,0,3,"[1, 0, 2, 3, 4]",40-120
10,21,3,104,105,200,169,158,2,2,"[1, 0, 2, 3, 4]",100-200
10,21,4,118,72,62,84,66,1,0,"[1, 0, 2, 3, 4]",40-120
10,21,5,106,105,48,99,114,4,0,"[1, 0, 2, 3, 4]",40-120
10,21,6,12,27,17,29,48,4,4,"[1, 0, 2, 3, 4]",10-50
10,21,7,26,11,49,34,36,2,2,"[1, 0, 2, 3, 4]",10-50
10,21,8,109,126,170,199,163,3,3,"[1, 0, 2, 3, 4]",100-200
10,21,9,248,241,279,242,202,0,1,"[1, 0, 2, 3, 4]",150-400
10,22,0,25,49,48,48,33,2,2,"[0, 1, 4, 2, 3]",10-50
10,22,1,195,175,121,144,105,3,0,"[0, 1, 4, 2, 3]",100-200
10,22,2,99,62,112,78,83,1,2,"[0, 1, 4, 2, 3]",40-120
10,22,3,159,247,352,373,205,1,3,"[0, 1, 4, 2, 3]",150-400
10,22,4,39,41,43,21,14,3,0,"[0, 1, 4, 2, 3]",10-50
10,22,5,35,13,13,24,46,4,4,"[0, 1, 4, 2, 3]",10-50
10,22,6,76,75,114,74,112,4,4,"[0, 1, 4, 2, 3]",40-120
10,22,7,242,357,296,153,318,0,1,"[0, 1, 4, 2, 3]",150-400
10,22,8,106,111,85,115,97,0,4,"[0, 1, 4, 2, 3]",40-120
10,22,9,144,155,149,151,101,2,2,"[0, 1, 4, 2, 3]",100-200
10,23,0,40,69,68,45,77,4,4,"[0, 3, 4, 2, 1]",40-120
10,23,1,160,178,177,167,144,2,2,"[0, 3, 4, 2, 1]",100-200
10,23,2,333,335,345,195,159,3,0,"[0, 3, 4, 2, 1]",150-400
10,23,3,27,41,12,50,22,3,3,"[0, 3, 4, 2, 1]",10-50
10,23,4,41,41,46,34,47,2,4,"[0, 3, 4, 2, 1]",10-50
10,23,5,149,131,184,183,188,4,4,"[0, 3, 4, 2, 1]",100-200
10,23,6,53,78,94,114,40,0,3,"[0, 3, 4, 2, 1]",40-120
10,23,7,74,110,96,80,54,1,2,"[0, 3, 4, 2, 1]",40-120
10,23,8,339,382,310,342,257,0,1,"[0, 3, 4, 2, 1]",150-400
10,23,9,12,45,39,39,35,1,3,"[0, 3, 4, 2, 1]",10-50
10,24,0,137,124,178,148,148,2,4,"[4, 3, 2, 0, 1]",100-200
10,24,1,29,18,29,41,45,0,4,"[4, 3, 2, 0, 1]",10-50
10,24,2,61,115,79,91,106,1,1,"[4, 3, 2, 0, 1]",40-120
10,24,3,197,147,156,178,116,0,3,"[4, 3, 2, 0, 1]",100-200
10,24,4,114,101,66,88,105,4,1,"[4, 3, 2, 0, 1]",40-120
10,24,5,183,271,317,269,184,4,2,"[4, 3, 2, 0, 1]",150-400
10,24,6,64,66,42,57,44,3,1,"[4, 3, 2, 0, 1]",40-120
10,24,7,242,209,223,202,171,3,0,"[4, 3, 2, 0, 1]",150-400
10,24,8,28,17,28,37,39,1,3,"[4, 3, 2, 0, 1]",10-50
10,24,9,28,17,42,19,47,2,4,"[4, 3, 2, 0, 1]",10-50
10,25,0,41,40,99,110,83,3,3,"[2, 1, 4, 0, 3]",40-120
10,25,1,342,342,187,330,296,1,0,"[2, 1, 4, 0, 3]",150-400
10,25,2,37,36,24,12,48,4,4,"[2, 1, 4, 0, 3]",10-50
10,25,3,155,111,108,173,185,4,4,"[2, 1, 4, 0, 3]",100-200
10,25,4,332,391,287,300,379,2,1,"[2, 1, 4, 0, 3]",150-400
10,25,5,79,70,78,72,81,1,2,"[2, 1, 4, 0, 3]",40-120
10,25,6,41,99,110,72,92,2,2,"[2, 1, 4, 0, 3]",40-120
10,25,7,17,12,43,50,25,3,3,"[2, 1, 4, 0, 3]",10-50
10,25,8,43,28,48,11,19,0,2,"[2, 1, 4, 0, 3]",10-50
10,25,9,129,153,148,153,116,0,3,"[2, 1, 4, 0, 3]",100-200
10,26,0,11,13,33,49,34,3,3,"[0, 2, 3, 1, 4]",10-50
10,26,1,16,22,40,39,18,4,2,"[0, 2, 3, 1, 4]",10-50
10,26,2,43,25,34,13,21,1,0,"[0, 2, 3, 1, 4]",10-50
10,26,3,62,71,80,112,55,0,3,"[0, 2, 3, 1, 4]",40-120
10,26,4,200,253,157,308,259,2,4,"[0, 2, 3, 1, 4]",150-400
10,26,5,195,179,118,104,108,1,0,"[0, 2, 3, 1, 4]",100-200
10,26,6,128,167,104,181,108,3,3,"[0, 2, 3, 1, 4]",100-200
10,26,7,52,76,56,41,75,2,2,"[0, 2, 3, 1, 4]",40-120
10,26,8,41,84,109,101,89,4,2,"[0, 2, 3, 1, 4]",40-120
10,26,9,288,306,189,311,275,0,1,"[0, 2, 3, 1, 4]",150-400
10,27,0,315,194,284,357,156,2,3,"[4, 2, 0, 3, 1]",150-400
10,27,1,12,38,44,43,21,3,1,"[4, 2, 0, 3, 1]",10-50
10,27,2,85,89,46,101,120,1,4,"[4, 2, 0, 3, 1]",40-120
10,27,3,57,84,77,96,113,2,4,"[4, 2, 0, 3, 1]",40-120
10,27,4,150,305,364,246,202,4,2,"[4, 2, 0, 3, 1]",150-400
10,27,5,32,33,23,10,23,1,0,"[4, 2, 0, 3, 1]",10-50
10,27,6,121,129,154,117,139,3,0,"[4, 2, 0, 3, 1]",100-200
10,27,7,49,29,43,43,32,0,0,"[4, 2, 0, 3, 1]",10-50
10,27,8,144,194,177,172,150,0,1,"[4, 2, 0, 3, 1]",100-200
10,27,9,76,66,112,75,120,4,4,"[4, 2, 0, 3, 1]",40-120
10,28,0,19,21,26,30,40,1,4,"[4, 3, 0, 1, 2]",10-50
10,28,1,136,140,170,108,116,1,2,"[4, 3, 0, 1, 2]",100-200
10,28,2,163,175,158,116,192,0,4,"[4, 3, 0, 1, 2]",100-200
10,28,3,245,181,151,169,188,3,0,"[4, 3, 0, 1, 2]",150-400
10,28,4,118,74,58,44,95,4,0,"[4, 3, 0, 1, 2]",40-120
10,28,5,13,14,27,30,38,2,2,"[4, 3, 0, 1, 2]",10-50
10,28,6,353,187,203,372,329,4,3,"[4, 3, 0, 1, 2]",150-400
10,28,7,68,108,93,65,52,2,1,"[4, 3, 0, 1, 2]",40-120
10,28,8,26,19,20,21,30,0,4,"[4, 3, 0, 1, 2]",10-50
10,28,9,120,113,62,86,47,3,1,"[4, 3, 0, 1, 2]",40-120
10,29,0,24,31,26,39,10,0,1,"[4, 2, 0, 3, 1]",10-50
10,29,1,183,262,237,339,303,2,3,"[4, 2, 0, 3, 1]",150-400
10,29,2,312,234,290,370,340,4,0,"[4, 2, 0, 3, 1]",150-400
10,29,3,85,115,114,101,53,3,1,"[4, 2, 0, 3, 1]",40-120
10,29,4,71,119,98,72,76,1,1,"[4, 2, 0, 3, 1]",40-120
10,29,5,122,127,157,106,191,0,4,"[4, 2, 0, 3, 1]",100-200
10,29,6,81,83,46,78,79,2,4,"[4, 2, 0, 3, 1]",40-120
10,29,7,16,16,42,46,42,3,2,"[4, 2, 0, 3, 1]",10-50
10,29,8,106,110,150,100,171,4,2,"[4, 2, 0, 3, 1]",100-200
10,29,9,18,21,40,32,31,1,2,"[4, 2, 0, 3, 1]",10-50
10,30,0,88,108,88,47,50,0,1,"[1, 0, 3, 2, 4]",40-120
10,30,1,120,163,186,197,103,3,2,"[1, 0, 3, 2, 4]",100-200
10,30,2,151,130,153,100,103,2,0,"[1, 0, 3, 2, 4]",100-200
10,30,3,17,43,49,44,43,3,2,"[1, 0, 3, 2, 4]",10-50
10,30,4,37,33,40,28,13,2,0,"[1, 0, 3, 2, 4]",10-50
10,30,5,12,14,34,27,37,4,2,"[1, 0, 3, 2, 4]",10-50
10,30,6,266,324,274,386,370,1,3,"[1, 0, 3, 2, 4]",150-400
10,30,7,87,45,46,107,91,4,0,"[1, 0, 3, 2, 4]",40-120
10,30,8,73,115,104,60,62,1,1,"[1, 0, 3, 2, 4]",40-120
10,30,9,219,174,181,198,381,0,4,"[1, 0, 3, 2, 4]",150-400
10,31,0,116,59,53,73,74,0,0,"[1, 3, 4, 0, 2]",40-120
10,31,1,235,284,380,290,224,3,2,"[1, 3, 4, 0, 2]",150-400
10,31,2,174,198,182,152,182,4,0,"[1, 3, 4, 0, 2]",100-200
10,31,3,36,42,23,18,13,0,1,"[1, 3, 4, 0, 2]",10-50
10,31,4,114,147,143,169,154,2,1,"[1, 3, 4, 0, 2]",100-200
10,31,5,45,65,77,64,75,1,4,"[1, 3, 4, 0, 2]",40-120
10,31,6,239,315,338,325,197,1,3,"[1, 3, 4, 0, 2]",150-400
10,31,7,23,24,23,27,45,4,4,"[1, 3, 4, 0, 2]",10-50
10,31,8,14,43,10,27,27,2,1,"[1, 3, 4, 0, 2]",10-50
10,31,9,60,65,83,61,94,3,4,"[1, 3, 4, 0, 2]",40-120
10,32,0,67,52,77,111,79,3,3,"[2, 4, 1, 3, 0]",40-120
10,32,1,348,218,165,274,398,2,4,"[2, 4, 1, 3, 0]",150-400
10,32,2,100,87,67,60,97,2,0,"[2, 4, 1, 3, 0]",40-120
10,32,3,275,367,159,214,377,4,1,"[2, 4, 1, 3, 0]",150-400
10,32,4,90,97,60,53,81,4,0,"[2, 4, 1, 3, 0]",40-120
10,32,5,15,11,14,20,19,3,0,"[2, 4, 1, 3, 0]",10-50
10,32,6,25,42,26,20,32,0,2,"[2, 4, 1, 3, 0]",10-50
10,32,7,173,185,110,185,143,1,3,"[2, 4, 1, 3, 0]",100-200
10,32,8,121,184,149,104,192,0,2,"[2, 4, 1, 3, 0]",100-200
10,32,9,19,46,48,29,28,1,2,"[2, 4, 1, 3, 0]",10-50
10,33,0,12,16,36,49,16,2,3,"[3, 0, 2, 1, 4]",10-50
10,33,1,176,157,175,150,176,1,4,"[3, 0, 2, 1, 4]",100-200
10,33,2,18,25,16,28,30,4,3,"[3, 0, 2, 1, 4]",10-50
10,33,3,191,102,121,187,146,0,0,"[3, 0, 2, 1, 4]",100-200
10,33,4,88,104,110,101,111,4,4,"[3, 0, 2, 1, 4]",40-120
10,33,5,39,46,14,36,32,1,0,"[3, 0, 2, 1, 4]",10-50
10,33,6,81,69,58,86,88,0,3,"[3, 0, 2, 1, 4]",40-120
10,33,7,175,336,365,318,289,3,2,"[3, 0, 2, 1, 4]",150-400
